player,champ_wr,match_wr
Jose,0.5445,0.52688
Fernando,0.5401,0.53666
Alejandro,0.5326,0.52594
Andres,0.5313,0.5829
Rodrigo H,0.5298,0.56312
Sergio,0.4948,0.48628
Alfonso,0.4944,0.49646
Daniel,0.4876,0.46894
Patricio,0.4785,0.47256
Alonso,0.47,0.42822
Agustin,0.4656,0.4711
Rodrigo Z,0.4308,0.44094
