player,champ_wr,match_wr
Rodrigo H,0.4488,0.69112
Andres,0.4488,0.69112
Sergio,0.2118,0.51242
Fernando,0.2118,0.51242
Agustin,0.1978,0.51566
Patricio,0.1978,0.51566
Alejandro,0.1862,0.49666
Rodrigo Z,0.1862,0.49666
Alfonso,0.1796,0.47546
Jose,0.1796,0.47546
Alonso,0.0672,0.30868
Daniel,0.0672,0.30868
